code,name,market,type,latest_price,change_pct,volume,amount,market_cap,pe_ratio,pb_ratio
000518,*ST四环,SZ,A 股,0,0,0,0,0,0,0
000519,中兵红箭,SZ,A 股,0,0,0,0,0,0,0
000520,凤凰航运,SZ,A 股,0,0,0,0,0,0,0
000521,长虹美菱,SZ,A 股,0,0,0,0,0,0,0
000523,红棉股份,SZ,A 股,0,0,0,0,0,0,0
000524,岭南控股,SZ,A 股,0,0,0,0,0,0,0
000525,红太阳,SZ,A 股,0,0,0,0,0,0,0
000526,学大教育,SZ,A 股,0,0,0,0,0,0,0
000528,柳    工,SZ,A 股,0,0,0,0,0,0,0
000529,广弘控股,SZ,A 股,0,0,0,0,0,0,0
000530,冰山冷热,SZ,A 股,0,0,0,0,0,0,0
000531,穗恒运Ａ,SZ,A 股,0,0,0,0,0,0,0
000532,华金资本,SZ,A 股,0,0,0,0,0,0,0
000533,顺钠股份,SZ,A 股,0,0,0,0,0,0,0
000534,万泽股份,SZ,A 股,0,0,0,0,0,0,0
000536,华映科技,SZ,A 股,0,0,0,0,0,0,0
000537,绿发电力,SZ,A 股,0,0,0,0,0,0,0
000538,云南白药,SZ,A 股,0,0,0,0,0,0,0
000539,粤电力Ａ,SZ,A 股,0,0,0,0,0,0,0
000541,佛山照明,SZ,A 股,0,0,0,0,0,0,0
000543,皖能电力,SZ,A 股,0,0,0,0,0,0,0
000544,中原环保,SZ,A 股,0,0,0,0,0,0,0
000545,金浦钛业,SZ,A 股,0,0,0,0,0,0,0
000546,金圆股份,SZ,A 股,0,0,0,0,0,0,0
000547,航天发展,SZ,A 股,0,0,0,0,0,0,0
000548,湖南投资,SZ,A 股,0,0,0,0,0,0,0
000550,江铃汽车,SZ,A 股,0,0,0,0,0,0,0
000551,创元科技,SZ,A 股,0,0,0,0,0,0,0
000552,甘肃能化,SZ,A 股,0,0,0,0,0,0,0
000553,安道麦A,SZ,A 股,0,0,0,0,0,0,0
000554,泰山石油,SZ,A 股,0,0,0,0,0,0,0
000555,神州信息,SZ,A 股,0,0,0,0,0,0,0
000557,西部创业,SZ,A 股,0,0,0,0,0,0,0
000558,天府文旅,SZ,A 股,0,0,0,0,0,0,0
000559,万向钱潮,SZ,A 股,0,0,0,0,0,0,0
000560,我爱我家,SZ,A 股,0,0,0,0,0,0,0
000561,烽火电子,SZ,A 股,0,0,0,0,0,0,0
000563,陕国投Ａ,SZ,A 股,0,0,0,0,0,0,0
000564,供销大集,SZ,A 股,0,0,0,0,0,0,0
000565,渝三峡Ａ,SZ,A 股,0,0,0,0,0,0,0
000566,海南海药,SZ,A 股,0,0,0,0,0,0,0
000567,海德股份,SZ,A 股,0,0,0,0,0,0,0
000568,泸州老窖,SZ,A 股,0,0,0,0,0,0,0
000570,苏常柴Ａ,SZ,A 股,0,0,0,0,0,0,0
000571,新大洲A,SZ,A 股,0,0,0,0,0,0,0
000572,海马汽车,SZ,A 股,0,0,0,0,0,0,0
000573,粤宏远Ａ,SZ,A 股,0,0,0,0,0,0,0
000576,甘化科工,SZ,A 股,0,0,0,0,0,0,0
000581,威孚高科,SZ,A 股,0,0,0,0,0,0,0
000582,北部湾港,SZ,A 股,0,0,0,0,0,0,0
000586,汇源通信,SZ,A 股,0,0,0,0,0,0,0
000589,贵州轮胎,SZ,A 股,0,0,0,0,0,0,0
000590,古汉医药,SZ,A 股,0,0,0,0,0,0,0
000591,太阳能,SZ,A 股,0,0,0,0,0,0,0
000592,平潭发展,SZ,A 股,0,0,0,0,0,0,0
000593,德龙汇能,SZ,A 股,0,0,0,0,0,0,0
000595,*ST宝实,SZ,A 股,0,0,0,0,0,0,0
000596,古井贡酒,SZ,A 股,0,0,0,0,0,0,0
000597,东北制药,SZ,A 股,0,0,0,0,0,0,0
000598,兴蓉环境,SZ,A 股,0,0,0,0,0,0,0
000599,青岛双星,SZ,A 股,0,0,0,0,0,0,0
000600,建投能源,SZ,A 股,0,0,0,0,0,0,0
000601,韶能股份,SZ,A 股,0,0,0,0,0,0,0
000603,盛达资源,SZ,A 股,0,0,0,0,0,0,0
000605,渤海股份,SZ,A 股,0,0,0,0,0,0,0
000607,华媒控股,SZ,A 股,0,0,0,0,0,0,0
000608,*ST阳光,SZ,A 股,0,0,0,0,0,0,0
000609,ST中迪,SZ,A 股,0,0,0,0,0,0,0
000610,西安旅游,SZ,A 股,0,0,0,0,0,0,0
000612,焦作万方,SZ,A 股,0,0,0,0,0,0,0
000615,*ST美谷,SZ,A 股,0,0,0,0,0,0,0
000617,中油资本,SZ,A 股,0,0,0,0,0,0,0
000619,海螺新材,SZ,A 股,0,0,0,0,0,0,0
000620,盈新发展,SZ,A 股,0,0,0,0,0,0,0
000623,吉林敖东,SZ,A 股,0,0,0,0,0,0,0
000625,长安汽车,SZ,A 股,0,0,0,0,0,0,0
000626,远大控股,SZ,A 股,0,0,0,0,0,0,0
000628,高新发展,SZ,A 股,0,0,0,0,0,0,0
000629,钒钛股份,SZ,A 股,0,0,0,0,0,0,0
000630,铜陵有色,SZ,A 股,0,0,0,0,0,0,0
000631,顺发恒能,SZ,A 股,0,0,0,0,0,0,0
000632,三木集团,SZ,A 股,0,0,0,0,0,0,0
000633,合金投资,SZ,A 股,0,0,0,0,0,0,0
000635,英 力 特,SZ,A 股,0,0,0,0,0,0,0
000636,风华高科,SZ,A 股,0,0,0,0,0,0,0
000637,茂化实华,SZ,A 股,0,0,0,0,0,0,0
000638,*ST万方,SZ,A 股,0,0,0,0,0,0,0
000639,西王食品,SZ,A 股,0,0,0,0,0,0,0
000650,仁和药业,SZ,A 股,0,0,0,0,0,0,0
000651,格力电器,SZ,A 股,0,0,0,0,0,0,0
000652,泰达股份,SZ,A 股,0,0,0,0,0,0,0
000655,金岭矿业,SZ,A 股,0,0,0,0,0,0,0
000656,*ST金科,SZ,A 股,0,0,0,0,0,0,0
000657,中钨高新,SZ,A 股,0,0,0,0,0,0,0
000659,珠海中富,SZ,A 股,0,0,0,0,0,0,0
000661,长春高新,SZ,A 股,0,0,0,0,0,0,0
000663,永安林业,SZ,A 股,0,0,0,0,0,0,0
000665,湖北广电,SZ,A 股,0,0,0,0,0,0,0
000668,*ST荣控,SZ,A 股,0,0,0,0,0,0,0
000669,ST金鸿,SZ,A 股,0,0,0,0,0,0,0
000670,盈方微,SZ,A 股,0,0,0,0,0,0,0
000672,上峰水泥,SZ,A 股,0,0,0,0,0,0,0
000676,智度股份,SZ,A 股,0,0,0,0,0,0,0
000677,恒天海龙,SZ,A 股,0,0,0,0,0,0,0
000678,襄阳轴承,SZ,A 股,0,0,0,0,0,0,0
000679,大连友谊,SZ,A 股,0,0,0,0,0,0,0
000680,山推股份,SZ,A 股,0,0,0,0,0,0,0
000681,视觉中国,SZ,A 股,0,0,0,0,0,0,0
000682,东方电子,SZ,A 股,0,0,0,0,0,0,0
000683,博源化工,SZ,A 股,0,0,0,0,0,0,0
000685,中山公用,SZ,A 股,0,0,0,0,0,0,0
000686,东北证券,SZ,A 股,0,0,0,0,0,0,0
000688,国城矿业,SZ,A 股,0,0,0,0,0,0,0
000690,宝新能源,SZ,A 股,0,0,0,0,0,0,0
000691,*ST亚太,SZ,A 股,0,0,0,0,0,0,0
000692,惠天热电,SZ,A 股,0,0,0,0,0,0,0
000695,滨海能源,SZ,A 股,0,0,0,0,0,0,0
000697,ST炼石,SZ,A 股,0,0,0,0,0,0,0
000698,ST沈化,SZ,A 股,0,0,0,0,0,0,0
000700,模塑科技,SZ,A 股,0,0,0,0,0,0,0
000701,厦门信达,SZ,A 股,0,0,0,0,0,0,0
000702,正虹科技,SZ,A 股,0,0,0,0,0,0,0
000703,恒逸石化,SZ,A 股,0,0,0,0,0,0,0
000705,浙江震元,SZ,A 股,0,0,0,0,0,0,0
000707,双环科技,SZ,A 股,0,0,0,0,0,0,0
000708,中信特钢,SZ,A 股,0,0,0,0,0,0,0
000709,河钢股份,SZ,A 股,0,0,0,0,0,0,0
000710,贝瑞基因,SZ,A 股,0,0,0,0,0,0,0
000711,ST京蓝,SZ,A 股,0,0,0,0,0,0,0
000712,锦龙股份,SZ,A 股,0,0,0,0,0,0,0
000713,国投丰乐,SZ,A 股,0,0,0,0,0,0,0
000715,中兴商业,SZ,A 股,0,0,0,0,0,0,0
000716,黑芝麻,SZ,A 股,0,0,0,0,0,0,0
000717,中南股份,SZ,A 股,0,0,0,0,0,0,0
000718,苏宁环球,SZ,A 股,0,0,0,0,0,0,0
000719,中原传媒,SZ,A 股,0,0,0,0,0,0,0
000720,新能泰山,SZ,A 股,0,0,0,0,0,0,0
000721,西安饮食,SZ,A 股,0,0,0,0,0,0,0
000722,湖南发展,SZ,A 股,0,0,0,0,0,0,0
000723,美锦能源,SZ,A 股,0,0,0,0,0,0,0
000725,京东方Ａ,SZ,A 股,0,0,0,0,0,0,0
000726,鲁  泰Ａ,SZ,A 股,0,0,0,0,0,0,0
000727,冠捷科技,SZ,A 股,0,0,0,0,0,0,0
000728,国元证券,SZ,A 股,0,0,0,0,0,0,0
000729,燕京啤酒,SZ,A 股,0,0,0,0,0,0,0
000731,四川美丰,SZ,A 股,0,0,0,0,0,0,0
000733,振华科技,SZ,A 股,0,0,0,0,0,0,0
000735,罗 牛 山,SZ,A 股,0,0,0,0,0,0,0
000736,*ST中地,SZ,A 股,0,0,0,0,0,0,0
